Sr. No.,Lease Name,Area,Document Name,condition_type,shortened_condition_text,condition_text,Evidence,clause_number,Priority,AI Validated,Location,Type,Assigned by,Assigned to,Progress Status,create date,deadline date,completion date,approved date,validation date,closure date
812,Jhillingburu - II,30.43,EC,Water quality monitoring and preservation,Submit results of manual effluent testing and ground water quality monitoring,"The project proponent shall submit monthly summary report of continuous effluent monitoring and results of manual effluent testing and manual monitoring of ground water quality to Regional Office of MoEF&CC, Zonal office of CPCB and Regional Office of SPCB along with six-monthly monitoring report.",pdf,iii,2,1,Gua,Manganese Ore Mine,Ankit,Shreyas,Approved,5/26/2024,5/26/2024,6/13/2024,6/16/2024,6/16/2024,6/16/2024
813,Jhillingburu - II,30.43,EC,Water quality monitoring and preservation,Provide slime disposal facility with impervious lining and collection wells,The project proponent shall provide the slime disposal facility with impervious lining and collection wells for seepage. The water collected from the slime pond shall be treated and recycled.,"image,pdf",iv,4,1,Gua,Manganese Ore Mine,Ankit,Vinay,Approved,1/22/2025,1/22/2025,2/15/2025,2/18/2025,2/18/2025,2/18/2025
814,Jhillingburu - II,30.43,EC,Water quality monitoring and preservation,Treat and recycle water collected from the slime pond,The project proponent shall provide the slime disposal facility with impervious lining and collection wells for seepage. The water collected from the slime pond shall be treated and recycled.,"pdf,image",iv,3,1,Gua,Manganese Ore Mine,Ankit,Vinay,Approved,7/13/2024,7/13/2024,7/29/2024,8/1/2024,8/1/2024,8/1/2024
815,Jhillingburu - II,30.43,EC,Water quality monitoring and preservation,Adhere to 'Zero Liquid Discharge',Adhere to 'Zero Liquid Discharge'.,pdf,v,3,2,Gua,Manganese Ore Mine,Vinay,Anshul,Approved,2/21/2025,2/21/2025,3/10/2025,3/13/2025,3/13/2025,3/13/2025
816,Jhillingburu - II,30.43,EC,Water quality monitoring and preservation,Provide Sewage Treatment Plant for domestic wastewater,Sewage Treatment Plant shall be provided for treatment of domestic wastewater to meet the prescribed standards.,"image,pdf",vi,2,0,Gua,Manganese Ore Mine,Ankit,Shreyas,Approval Pending,4/11/2025,4/11/2025,5/7/2025,,12/31/2027,12/31/2027
817,Jhillingburu - II,30.43,EC,Water quality monitoring and preservation,Provide garland drains and collection pits for each stock pile,Garland drains and collection pits shall be provided for each stock pile to arrest the run-off in the event of heavy rains and to check the water pollution due to surface run off.,image,vii,3,1,Gua,Manganese Ore Mine,Ankit,Vinay,Approved,5/9/2024,5/9/2024,6/1/2024,6/3/2024,6/3/2024,6/3/2024
818,Jhillingburu - II,30.43,EC,Water quality monitoring and preservation,Practice rainwater harvesting to maximum possible extent,The project proponent shall practice rainwater harvesting to maximum possible extent.,"image,pdf",viii,2,0,Gua,Manganese Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
819,Jhillingburu - II,30.43,EC,Water quality monitoring and preservation,Minimize water consumption by segregation and recycling,The project proponent shall make efforts to minimise water consumption in the steel plant complex by segregation of used water practicing cascade use and by recycling treated water.,pdf,ix,2,0,Gua,Manganese Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
820,Jhillingburu - II,30.43,EC,Noise monitoring and prevention,Carry out noise level survey as per prescribed guidelines,Noise level survey shall be carried as per the prescribed guidelines and report in this regard shall be submitted to Regional Officer of the Ministry as a part of six-monthly compliance report.,pdf,i,2,0,Gua,Manganese Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
821,Jhillingburu - II,30.43,EC,Noise monitoring and prevention,Submit noise level survey report as part of six-monthly compliance report,Noise level survey shall be carried as per the prescribed guidelines and report in this regard shall be submitted to Regional Officer of the Ministry as a part of six-monthly compliance report.,pdf,i,2,1,Gua,Manganese Ore Mine,Ankit,Shreyas,Approved,1/12/2025,1/12/2025,1/28/2025,1/31/2025,1/31/2025,1/31/2025
822,Jhillingburu - II,30.43,EC,Noise monitoring and prevention,"Ensure ambient noise levels conform to standards (day 75 dB(A), night 70 dB(A))","The ambient noise levels should conform to the standards prescribed under E(P)A Rules, 1986 viz. 75 dB(A) during day time and 70 dB(A) during night time.",pdf,ii,2,0,Gua,Manganese Ore Mine,Vinay,Anshul,Approval Pending,10/15/2024,10/15/2024,11/5/2024,,12/31/2027,12/31/2027
823,Jhillingburu - II,30.43,EC,Energy Conservation measures,Provide and maintain solar power generation on roof tops,"Provide solar power generation on roof tops of buildings, for solar light system for all common areas, street lights, parking around project area and maintain the same regularly.","image,pdf",i,2,0,Gua,Manganese Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
824,Jhillingburu - II,30.43,EC,Energy Conservation measures,Provide and maintain solar light system for common areas and street lights,"Provide solar power generation on roof tops of buildings, for solar light system for all common areas, street lights, parking around project area and maintain the same regularly.","image,pdf",i,2,0,Gua,Manganese Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
825,Jhillingburu - II,30.43,EC,Energy Conservation measures,Provide LED lights in offices and residential areas,Provide LED lights in their offices and residential areas.,image,ii,1,1,Gua,Manganese Ore Mine,Ankit,Vinay,Approved,5/28/2024,5/28/2024,6/13/2024,6/15/2024,6/15/2024,6/15/2024
826,Jhillingburu - II,30.43,EC,Waste management,"Dispose of waste oil, grease and other hazardous waste as per Rules, 2016","The waste oil, grease and other hazardous waste shall be disposed of as per the Hazardous & Other waste (Management & Trans boundary Movement) Rules, 2016.",pdf,i,3,1,Gua,Manganese Ore Mine,Ankit,Shreyas,Approved,11/17/2024,11/17/2024,11/25/2024,11/26/2024,11/26/2024,11/26/2024
827,Jhillingburu - II,30.43,EC,Waste management,Compost or convert kitchen waste to biogas,Kitchen waste shall be composted or converted to biogas for further use. (to be decided on case to case basis depending on type and size of plant),"image,pdf",ii,1,1,Gua,Manganese Ore Mine,Ankit,Vinay,Approved,8/9/2024,8/9/2024,8/27/2024,8/28/2024,8/28/2024,8/28/2024
828,Jhillingburu - II,30.43,EC,Green Belt and EMP,Develop green belt in an area equal to 33% of the plant area,Green belt shall be developed in an area equal to 33% of the plant area with a native tree species in accordance with CPCB guidelines. The greenbelt shall inter alia cover the entire periphery of the plant.,"image,kml",i,3,0,Gua,Manganese Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
829,Jhillingburu - II,30.43,EC,Green Belt and EMP,Use native tree species in accordance with CPCB guidelines,Green belt shall be developed in an area equal to 33% of the plant area with a native tree species in accordance with CPCB guidelines. The greenbelt shall inter alia cover the entire periphery of the plant.,pdf,i,2,1,Gua,Manganese Ore Mine,Ankit,Shreyas,Approved,1/23/2025,1/23/2025,2/13/2025,2/14/2025,2/14/2025,2/14/2025
830,Jhillingburu - II,30.43,EC,Green Belt and EMP,Prepare GHG emissions inventory for the plant,The project proponent shall prepare GHG emissions inventory for the plant and shall submit the program for reduction of the same including carbon sequestration including plantation.,pdf,ii,2,1,Gua,Manganese Ore Mine,Ankit,Vinay,Approved,1/14/2025,1/14/2025,1/28/2025,1/31/2025,1/31/2025,1/31/2025
831,Jhillingburu - II,30.43,EC,Green Belt and EMP,Submit program for reduction of GHG emissions,The project proponent shall prepare GHG emissions inventory for the plant and shall submit the program for reduction of the same including carbon sequestration including plantation.,pdf,ii,2,0,Gua,Manganese Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
832,Jhillingburu - II,30.43,EC,Public hearing and Human health issues,Implement Emergency preparedness plan based on HIRA and Disaster Management Plan,Emergency preparedness plan based on the Hazard identification and Risk Assessment (HIRA) and Disaster Management Plan shall be implemented.,pdf,i,4,0,Gua,Manganese Ore Mine,Shreyas,test_user,Approval Pending,9/29/2024,9/29/2024,10/29/2024,,12/31/2027,12/31/2027
833,Jhillingburu - II,30.43,EC,Public hearing and Human health issues,Carry out heat stress analysis for workmen,The project proponent shall carry out heat stress analysis for the workmen who work in high temperature work zone and provide Personal Protection Equipment (PPE) as per the norms of Factory Act.,pdf,ii,2,0,Gua,Manganese Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
834,Jhillingburu - II,30.43,EC,Public hearing and Human health issues,Provide PPE as per norms of Factory Act,The project proponent shall carry out heat stress analysis for the workmen who work in high temperature work zone and provide Personal Protection Equipment (PPE) as per the norms of Factory Act.,"image,pdf",ii,3,0,Gua,Manganese Ore Mine,Shreyas,test_user,Approval Pending,1/28/2025,1/28/2025,2/17/2025,,12/31/2027,12/31/2027
835,Jhillingburu - II,30.43,EC,Public hearing and Human health issues,Provide housing for construction labour within the site with necessary infrastructure,"Provision shall be made for the housing of construction labour within the site with all necessary infrastructure and facilities such as fuel for cooking, mobile toilets, mobile STP, safe drinking water, medical health care, crèche etc. The housing may be in the form of temporary structures to be removed after the completion of the project.",image,iii,2,1,Gua,Manganese Ore Mine,Ankit,Shreyas,Approved,1/25/2025,1/25/2025,2/6/2025,2/8/2025,2/8/2025,2/8/2025
836,Jhillingburu - II,30.43,EC,Public hearing and Human health issues,Remove temporary housing structures after project completion,"Provision shall be made for the housing of construction labour within the site with all necessary infrastructure and facilities such as fuel for cooking, mobile toilets, mobile STP, safe drinking water, medical health care, crèche etc. The housing may be in the form of temporary structures to be removed after the completion of the project.",image,iii,1,0,Gua,Manganese Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
837,Jhillingburu - II,30.43,EC,Public hearing and Human health issues,Conduct occupational health surveillance of workers on a regular basis,Occupational health surveillance of the workers shall be done on a regular basis and records maintained as per the Factories Act.,pdf,iv,2,1,Gua,Manganese Ore Mine,Ankit,Vinay,Approved,6/1/2024,6/1/2024,6/21/2024,6/24/2024,6/24/2024,6/24/2024
838,Jhillingburu - II,30.43,EC,Public hearing and Human health issues,Maintain records as per the Factories Act,Occupational health surveillance of the workers shall be done on a regular basis and records maintained as per the Factories Act.,pdf,iv,1,0,Gua,Manganese Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
839,Jhillingburu - II,30.43,EC,Corporate Environment Responsibility,Comply with provisions of Ministry's OM on Corporate Environment Responsibility,"The project proponent shall comply with the provisions contained in this Ministry's OM vide F.No. 22-65/2017-IA.III dated 1st May 2018, as applicable, regarding Corporate Environment Responsibility.",pdf,i,3,1,Gua,Manganese Ore Mine,Ankit,Vinay,Approved,6/11/2024,6/11/2024,7/3/2024,7/6/2024,7/6/2024,7/6/2024
840,Jhillingburu - II,30.43,EC,Corporate Environment Responsibility,Have a well laid down environmental policy approved by the Board,The company shall have a well laid down environmental policy duly approve by the Board of Directors. The environmental policy should prescribe for standard operating procedures to have proper checks and balances and to bring into focus any infringements/deviation/violation of the environmental/forest wildlife norms/conditions. The company shall have defined system of reporting infringements/deviation/violation of the environmental/forest/wildlife norms/conditions and/or shareholders/stake holders. The copy of the board resolution in this regard shall be submitted to the MoEF&CC as a part of six-monthly report.,pdf,ii,3,0,Gua,Manganese Ore Mine,Ankit,Vinay,Evidence Pending,5/11/2025,5/11/2025,6/22/2025,,12/31/2027,12/31/2027
841,Jhillingburu - II,30.43,EC,Corporate Environment Responsibility,Policy should prescribe SOPs for checks and balances,The company shall have a well laid down environmental policy duly approve by the Board of Directors. The environmental policy should prescribe for standard operating procedures to have proper checks and balances and to bring into focus any infringements/deviation/violation of the environmental/forest wildlife norms/conditions. The company shall have defined system of reporting infringements/deviation/violation of the environmental/forest/wildlife norms/conditions and/or shareholders/stake holders. The copy of the board resolution in this regard shall be submitted to the MoEF&CC as a part of six-monthly report.,pdf,ii,2,0,Gua,Manganese Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
